make,model,class,drive,transmission,cylinders,engine_displacement,fuel_type,fuel_type_1,city_mpg,highway_mpg,co2,fuel_economy_score,ghg_score
GMC,Yukon K1500 4WD,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 8-Speed,8,6.2,Regular,Regular Gasoline,15,20,531,3,3
GMC,Yukon K1500 XL 4WD,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 6-Speed,8,5.3,Regular,Regular Gasoline,15,22,502,3,3
GMC,Yukon K1500 XL 4WD,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 6-Speed,8,5.3,Gasoline or E85,Regular Gasoline,15,22,502,3,3
GMC,Yukon K1500 XL 4WD,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 8-Speed,8,6.2,Regular,Regular Gasoline,14,20,553,2,2
Honda,Accord,Midsize Cars,Front-Wheel Drive,Auto(AV-S7),4,2.4,Regular,Regular Gasoline,26,34,303,7,7
Honda,Accord,Midsize Cars,Front-Wheel Drive,Automatic (S6),6,3.5,Regular,Regular Gasoline,21,32,362,5,5
Honda,Accord,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,2.4,Regular,Regular Gasoline,27,36,292,7,7
Honda,Accord,Midsize Cars,Front-Wheel Drive,Automatic 6-Speed,6,3.5,Regular,Regular Gasoline,21,33,350,5,5
Honda,Accord,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,6,3.5,Regular,Regular Gasoline,18,28,414,4,4
Honda,Accord,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,4,2.4,Regular,Regular Gasoline,23,32,334,6,6
Honda,Accord Hybrid,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,2.0,Regular,Regular Gasoline,49,47,183,10,10
Honda,Civic 2Dr,Compact Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,2.0,Regular,Regular Gasoline,30,39,262,8,8
Honda,Civic 2Dr,Compact Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,1.5,Regular,Regular Gasoline,31,40,256,8,8
Honda,Civic 2Dr,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,2.0,Regular,Regular Gasoline,28,39,278,7,7
Honda,Civic 2Dr,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,1.5,Regular,Regular Gasoline,30,41,258,8,8
Honda,Civic 4Dr,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,2.0,Regular,Regular Gasoline,31,40,257,8,8
Honda,Civic 4Dr,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,1.5,Regular,Regular Gasoline,32,42,248,8,8
Honda,Civic 4Dr,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,4,2.0,Regular,Regular Gasoline,28,40,273,7,7
Honda,Civic 4Dr,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,4,1.5,Regular,Regular Gasoline,31,42,251,8,8
Honda,Civic 5Dr,Large Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,1.5,Regular,Regular Gasoline,31,40,260,8,8
Honda,Civic 5Dr,Large Cars,Front-Wheel Drive,Manual 6-Speed,4,1.5,Regular,Regular Gasoline,30,39,264,8,8
Honda,Civic 5Dr Sport,Large Cars,Front-Wheel Drive,Auto(AV-S7),4,1.5,Premium,Premium Gasoline,30,36,274,7,7
Honda,Civic 5Dr Sport,Large Cars,Front-Wheel Drive,Manual 6-Speed,4,1.5,Premium,Premium Gasoline,30,39,264,8,8
