make,model,class,drive,transmission,cylinders,engine_displacement,fuel_type,fuel_type_1,city_mpg,highway_mpg,co2,fuel_economy_score,ghg_score
Jaguar,XJL AWD,Large Cars,All-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,17,25,450,4,4
Jeep,Cherokee 4WD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 9-Speed,4,2.4,Regular,Regular Gasoline,21,28,378,5,5
Jeep,Cherokee 4WD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 9-Speed,4,2.4,Gasoline or E85,Regular Gasoline,21,28,378,5,5
Jeep,Cherokee 4WD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 9-Speed,6,3.2,Midgrade,Midgrade Gasoline,20,27,388,5,5
Jeep,Cherokee 4WD Active Drive II,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 9-Speed,6,3.2,Midgrade,Midgrade Gasoline,18,26,416,4,4
Jeep,Cherokee 4WD Active Drive II,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 9-Speed,4,2.4,Regular,Regular Gasoline,21,27,385,5,5
Jeep,Cherokee FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 9-Speed,4,2.4,Regular,Regular Gasoline,21,30,361,5,5
Jeep,Cherokee FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 9-Speed,4,2.4,Gasoline or E85,Regular Gasoline,21,30,361,5,5
Jeep,Cherokee FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 9-Speed,6,3.2,Midgrade,Midgrade Gasoline,21,29,377,5,5
Jeep,Cherokee Trailhawk 4WD,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 9-Speed,4,2.4,Regular,Regular Gasoline,19,25,412,5,5
Jeep,Cherokee Trailhawk 4WD,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 9-Speed,6,3.2,Midgrade,Midgrade Gasoline,18,24,432,4,4
Jeep,Compass 4WD,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (variable gear ratios),4,2.4,Regular,Regular Gasoline,20,23,417,4,4
Jeep,Compass 4WD,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 6-Speed,4,2.4,Regular,Regular Gasoline,20,25,400,5,5
Jeep,Compass 4WD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Manual 5-Speed,4,2.4,Regular,Regular Gasoline,22,27,369,5,5
Jeep,Compass FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (variable gear ratios),4,2.0,Regular,Regular Gasoline,22,26,378,5,5
Jeep,Compass FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 6-Speed,4,2.4,Regular,Regular Gasoline,21,27,382,5,5
Jeep,Compass FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Manual 5-Speed,4,2.4,Regular,Regular Gasoline,23,28,353,5,5
Jeep,Compass FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Manual 5-Speed,4,2.0,Regular,Regular Gasoline,23,30,347,5,5
Jeep,Grand Cherokee 2WD,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic 8-Speed,6,3.6,Regular,Regular Gasoline,19,26,414,4,4
Jeep,Grand Cherokee 4WD,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 8-Speed,6,3.6,Regular,Regular Gasoline,18,25,427,4,4
Jeep,Grand Cherokee 4WD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 8-Speed,8,5.7,Midgrade,Midgrade Gasoline,14,22,533,3,3
Jeep,Grand Cherokee SRT 4WD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 8-Speed,8,6.4,Premium,Premium Gasoline,13,19,592,2,2
Jeep,New Compass 4WD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 9-Speed,4,2.4,Regular,Regular Gasoline,22,30,358,5,5
Jeep,Patriot 4WD,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (variable gear ratios),4,2.4,Regular,Regular Gasoline,20,23,417,4,4
Jeep,Patriot 4WD,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 6-Speed,4,2.4,Regular,Regular Gasoline,20,25,400,5,5
Jeep,Patriot 4WD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Manual 5-Speed,4,2.4,Regular,Regular Gasoline,22,27,369,5,5
Jeep,Patriot FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (variable gear ratios),4,2.0,Regular,Regular Gasoline,22,26,378,5,5
Jeep,Patriot FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 6-Speed,4,2.4,Regular,Regular Gasoline,21,27,382,5,5
Jeep,Patriot FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Manual 5-Speed,4,2.4,Regular,Regular Gasoline,23,28,353,5,5
Jeep,Patriot FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Manual 5-Speed,4,2.0,Regular,Regular Gasoline,23,30,347,5,5
Jeep,Renegade 2WD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 9-Speed,4,2.4,Gasoline or E85,Regular Gasoline,22,30,357,5,5
Jeep,Renegade 2WD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Manual 6-Speed,4,1.4,Premium,Premium Gasoline,24,31,336,6,6
Jeep,Renegade 4WD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 9-Speed,4,2.4,Regular,Regular Gasoline,21,29,371,5,5
Jeep,Renegade 4WD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Manual 6-Speed,4,1.4,Premium,Premium Gasoline,24,31,339,6,6
Jeep,Wrangler 4WD,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 5-Speed,6,3.6,Regular,Regular Gasoline,17,21,481,3,3
Jeep,Wrangler 4WD,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Manual 6-Speed,6,3.6,Regular,Regular Gasoline,17,21,480,3,3
Jeep,Wrangler Unlimited 4WD,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 5-Speed,6,3.6,Regular,Regular Gasoline,16,20,504,3,3
Jeep,Wrangler Unlimited 4WD,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Manual 6-Speed,6,3.6,Regular,Regular Gasoline,16,21,502,3,3
Kia,Cadenza,Large Cars,Front-Wheel Drive,Automatic (S8),6,3.3,Regular,Regular Gasoline,20,28,384,5,5
Kia,Forte,Midsize Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,25,33,318,6,6
Kia,Forte,Midsize Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,29,38,301,7,7
Kia,Forte,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,4,2.0,Regular,Regular Gasoline,25,34,314,6,6
Kia,Forte 5,Large Cars,Front-Wheel Drive,Auto(AM7),4,1.6,Regular,Regular Gasoline,25,30,332,6,6
Kia,Forte 5,Large Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,25,34,317,6,6
Kia,Forte 5,Large Cars,Front-Wheel Drive,Manual 6-Speed,4,1.6,Regular,Regular Gasoline,23,29,353,5,5
Kia,Forte Koup,Compact Cars,Front-Wheel Drive,Auto(AM7),4,1.6,Regular,Regular Gasoline,25,32,328,6,6
Kia,Forte Koup,Compact Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,25,33,320,6,6
Kia,Forte Koup,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,1.6,Regular,Regular Gasoline,23,30,348,6,6
Kia,K900,Large Cars,Front-Wheel Drive,Automatic (S8),8,5.0,Premium,Premium Gasoline,15,23,512,3,3
Kia,K900,Large Cars,Rear-Wheel Drive,Automatic (S8),6,3.8,Regular,Regular Gasoline,17,25,448,4,4
Kia,Niro,Small Station Wagons,Front-Wheel Drive,Auto(AM6),4,1.6,Regular,Regular Gasoline,51,46,183,10,10
Kia,Niro FE,Small Station Wagons,Front-Wheel Drive,Auto(AM6),4,1.6,Regular,Regular Gasoline,52,49,177,10,10
Kia,Niro Touring,Small Station Wagons,Front-Wheel Drive,Auto(AM6),4,1.6,Regular,Regular Gasoline,46,40,207,9,9
Kia,Optima,Large Cars,Front-Wheel Drive,Auto(AM7),4,1.6,Regular,Regular Gasoline,28,37,286,7,7
Kia,Optima,Large Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,22,31,360,5,5
Kia,Optima,Large Cars,Front-Wheel Drive,Automatic (S6),4,2.4,Regular,Regular Gasoline,24,34,321,6,6
Kia,Optima FE,Large Cars,Front-Wheel Drive,Automatic (S6),4,2.4,Regular,Regular Gasoline,25,36,310,7,7
Kia,Optima Hybrid,Midsize Cars,Front-Wheel Drive,Auto(AM6),4,2.0,Regular,Regular Gasoline,39,46,212,9,9
Kia,Optima Plug-in Hybrid,Midsize Cars,Front-Wheel Drive,Auto(AM6),4,2.0,Regular Gas and Electricity,Regular Gasoline,38,43,97,10,10
Kia,Rio,Compact Cars,Front-Wheel Drive,Automatic (S6),4,1.6,Regular,Regular Gasoline,27,36,292,7,7
Kia,Rio,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,1.6,Regular,Regular Gasoline,27,36,287,7,7
Kia,Rio Eco,Compact Cars,Front-Wheel Drive,Automatic (S6),4,1.6,Regular,Regular Gasoline,27,36,286,7,7
Kia,Sedona,Minivan - 2WD,Front-Wheel Drive,Automatic (S6),6,3.3,Regular,Regular Gasoline,18,24,443,4,4
Kia,Sedona SX,Minivan - 2WD,Front-Wheel Drive,Automatic (S6),6,3.3,Regular,Regular Gasoline,18,25,433,4,4
Kia,Sedona SXL,Minivan - 2WD,Front-Wheel Drive,Automatic (S6),6,3.3,Regular,Regular Gasoline,17,22,476,4,4
Kia,Sorento AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,19,25,414,5,5
Kia,Sorento AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.4,Regular,Regular Gasoline,21,25,397,5,5
Kia,Sorento AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.3,Regular,Regular Gasoline,17,23,465,4,4
Kia,Sorento AWD FE,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.3,Regular,Regular Gasoline,18,25,434,4,4
Kia,Sorento FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,20,27,397,5,5
Kia,Sorento FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.4,Regular,Regular Gasoline,21,28,377,5,5
Kia,Sorento FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,3.3,Regular,Regular Gasoline,18,25,436,4,4
Kia,Soul,Small Station Wagons,Front-Wheel Drive,Auto(AM7),4,1.6,Regular,Regular Gasoline,26,31,320,6,6
Kia,Soul,Small Station Wagons,Front-Wheel Drive,Automatic (S6),4,1.6,Regular,Regular Gasoline,25,30,330,6,6
Kia,Soul,Small Station Wagons,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,25,30,334,6,6
Kia,Soul,Small Station Wagons,Front-Wheel Drive,Manual 6-Speed,4,1.6,Regular,Regular Gasoline,24,30,335,6,6
Kia,Sportage AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.4,Regular,Regular Gasoline,21,25,397,5,5
Kia,Sportage AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,20,23,424,4,4
Kia,Sportage FE AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.4,Regular,Regular Gasoline,21,25,400,5,5
Kia,Sportage FE FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.4,Regular,Regular Gasoline,23,30,351,6,6
Kia,Sportage FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.4,Regular,Regular Gasoline,22,29,358,5,5
Kia,Sportage FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,21,26,392,5,5
Lamborghini,Aventador Coupe,Two Seaters,All-Wheel Drive,Auto(AM-S7),12,6.5,Premium,Premium Gasoline,11,18,676,1,1
Lamborghini,Aventador Coupe LP740-4,Two Seaters,All-Wheel Drive,Auto(AM-S7),12,6.5,Premium,Premium Gasoline,10,16,746,1,1
Lamborghini,Aventador Roadster,Two Seaters,All-Wheel Drive,Auto(AM-S7),12,6.5,Premium,Premium Gasoline,10,18,698,1,1
Lamborghini,Aventador Roadster LP740-4,Two Seaters,All-Wheel Drive,Auto(AM-S7),12,6.5,Premium,Premium Gasoline,10,16,746,1,1
Lamborghini,Huracan,Two Seaters,All-Wheel Drive,Auto(AM-S7),10,5.2,Premium,Premium Gasoline,14,21,532,3,3
Lamborghini,Huracan 2WD,Two Seaters,Rear-Wheel Drive,Auto(AM-S7),10,5.2,Premium,Premium Gasoline,14,21,532,3,3
Lamborghini,Huracan Spyder,Two Seaters,All-Wheel Drive,Auto(AM-S7),10,5.2,Premium,Premium Gasoline,14,20,547,2,2
Lamborghini,Huracan Spyder 2WD,Two Seaters,Rear-Wheel Drive,Auto(AM-S7),10,5.2,Premium,Premium Gasoline,14,20,547,2,2
Land Rover,Discovery Sport,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S9),4,2.0,Premium,Premium Gasoline,20,25,406,5,5
Land Rover,Range Rover,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),8,5.0,Premium,Premium Gasoline,14,19,570,2,2
Land Rover,Range Rover,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,17,23,468,4,4
Land Rover,Range Rover,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),6,3.0,Diesel,Diesel,22,28,412,5,5
Land Rover,Range Rover Evoque,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S9),4,2.0,Premium,Premium Gasoline,21,29,372,5,5
Land Rover,Range Rover Evoque Convertible,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S9),4,2.0,Premium,Premium Gasoline,20,28,391,5,5
Land Rover,Range Rover LWB,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),8,5.0,Premium,Premium Gasoline,14,19,570,2,2
Land Rover,Range Rover Sport,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),8,5.0,Premium,Premium Gasoline,14,19,552,2,2
Land Rover,Range Rover Sport,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,17,23,468,4,4
Land Rover,Range Rover Sport,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),6,3.0,Diesel,Diesel,22,28,412,5,5
Lexus,CT 200h,Compact Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,1.8,Regular,Regular Gasoline,43,40,212,9,9
Lexus,ES 300h,Midsize Cars,Front-Wheel Drive,Auto(AV-S6),4,2.5,Regular,Regular Gasoline,40,39,223,9,9
Lexus,ES 350,Midsize Cars,Front-Wheel Drive,Automatic (S6),6,3.5,Regular,Regular Gasoline,21,30,365,5,5
Lexus,GS 200t,Midsize Cars,Rear-Wheel Drive,Automatic (S8),4,2.0,Premium,Premium Gasoline,22,32,345,6,6
Lexus,GS 200t F Sport,Midsize Cars,Rear-Wheel Drive,Automatic (S8),4,2.0,Premium,Premium Gasoline,21,30,368,5,5
Lexus,GS 350,Midsize Cars,Rear-Wheel Drive,Automatic (S8),6,3.5,Premium,Premium Gasoline,20,28,388,5,5
Lexus,GS 350 AWD,Midsize Cars,All-Wheel Drive,Automatic (S6),6,3.5,Premium,Premium Gasoline,19,26,411,5,5
Lexus,GS 350 F Sport,Midsize Cars,Rear-Wheel Drive,Automatic (S8),6,3.5,Premium,Premium Gasoline,19,27,405,5,5
Lexus,GS 450h,Midsize Cars,Rear-Wheel Drive,Auto(AV-S8),6,3.5,Premium,Premium Gasoline,29,34,283,7,7
Lexus,GS F,Compact Cars,Rear-Wheel Drive,Automatic (S8),8,5.0,Premium,Premium Gasoline,16,24,472,4,4
Lexus,GX 460,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S6),8,4.6,Premium,Premium Gasoline,15,18,548,2,2
Lexus,IS 200t,Compact Cars,Rear-Wheel Drive,Automatic (S8),4,2.0,Premium,Premium Gasoline,22,32,345,6,6
Lexus,IS 300 AWD,Compact Cars,All-Wheel Drive,Automatic (S6),6,3.5,Premium,Premium Gasoline,19,26,415,4,4
Lexus,IS 350,Compact Cars,Rear-Wheel Drive,Automatic (S8),6,3.5,Premium,Premium Gasoline,19,28,396,5,5
Lexus,IS 350 AWD,Compact Cars,All-Wheel Drive,Automatic (S6),6,3.5,Premium,Premium Gasoline,19,26,415,4,4
Lexus,LS 460,Midsize Cars,Rear-Wheel Drive,Automatic (S8),8,4.6,Premium,Premium Gasoline,16,24,460,4,4
Lexus,LS 460 AWD,Midsize Cars,All-Wheel Drive,Automatic (S8),8,4.6,Premium,Premium Gasoline,16,23,486,3,3
Lexus,LS 460 L,Midsize Cars,Rear-Wheel Drive,Automatic (S8),8,4.6,Premium,Premium Gasoline,16,24,460,4,4
Lexus,LS 460 L AWD,Midsize Cars,All-Wheel Drive,Automatic (S8),8,4.6,Premium,Premium Gasoline,16,23,486,3,3
Lexus,LX 570,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),8,5.7,Premium,Premium Gasoline,13,18,596,2,2
Lexus,NX 200t,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.0,Premium,Premium Gasoline,22,28,360,5,5
Lexus,NX 200t AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.0,Premium,Premium Gasoline,22,28,364,5,5
Lexus,NX 200t AWD F Sport,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.0,Premium,Premium Gasoline,22,27,374,5,5
Lexus,NX 300h AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Auto(AV-S6),4,2.5,Regular,Regular Gasoline,33,30,281,7,7
Lexus,RC 200t,Subcompact Cars,Rear-Wheel Drive,Automatic (S8),4,2.0,Premium,Premium Gasoline,22,32,345,6,6
Lexus,RC 300 AWD,Subcompact Cars,All-Wheel Drive,Automatic (S6),6,3.5,Premium,Premium Gasoline,19,26,415,4,4
Lexus,RC 350,Subcompact Cars,Rear-Wheel Drive,Automatic (S8),6,3.5,Premium,Premium Gasoline,19,28,396,5,5
Lexus,RC 350 AWD,Subcompact Cars,All-Wheel Drive,Automatic (S6),6,3.5,Premium,Premium Gasoline,19,26,415,4,4
Lexus,RC F,Subcompact Cars,Rear-Wheel Drive,Automatic (S8),8,5.0,Premium,Premium Gasoline,16,25,465,4,4
Lexus,RX 350,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S8),6,3.5,Regular,Regular Gasoline,20,27,391,5,5
Lexus,RX 350 AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),6,3.5,Regular,Regular Gasoline,19,26,405,5,5
Lexus,RX 450h AWD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Auto(AV-S6),6,3.5,Premium,Premium Gasoline,31,28,297,7,7
Lincoln,Continental  AWD,Large Cars,All-Wheel Drive,Automatic (S6),6,3.0,Regular,Regular Gasoline,16,24,467,4,4
Lincoln,Continental  AWD,Large Cars,All-Wheel Drive,Automatic (S6),6,2.7,Regular,Regular Gasoline,17,25,453,4,4
Lincoln,Continental  AWD,Large Cars,All-Wheel Drive,Automatic (S6),6,3.7,Regular,Regular Gasoline,16,24,467,4,4
Lincoln,Continental  FWD,Large Cars,Front-Wheel Drive,Automatic (S6),6,2.7,Regular,Regular Gasoline,18,27,422,4,4
Lincoln,Continental  FWD,Large Cars,Front-Wheel Drive,Automatic (S6),6,3.7,Regular,Regular Gasoline,17,26,440,4,4
Lincoln,MKC AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.3,Regular,Regular Gasoline,18,25,433,4,4
Lincoln,MKC AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,19,25,413,4,4
Lincoln,MKC AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,19,25,404,5,5
Lincoln,MKC FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,21,28,387,5,5
Lincoln,MKT AWD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.5,Regular,Regular Gasoline,15,21,523,3,3
Lincoln,MKT FWD,Standard Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,3.7,Regular,Regular Gasoline,16,24,468,4,4
Lincoln,MKT Livery AWD,Special Purpose Vehicle 4WD,All-Wheel Drive,Automatic 6-Speed,6,3.7,Regular,Regular Gasoline,16,23,493,3,3
Lincoln,MKX AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,2.7,Regular,Regular Gasoline,17,24,467,4,4
Lincoln,MKX AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.7,Regular,Regular Gasoline,16,23,471,4,4
Lincoln,MKX FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,3.7,Regular,Regular Gasoline,17,25,440,4,4
Lincoln,MKX FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,2.7,Regular,Regular Gasoline,18,25,444,4,4
Lincoln,MKZ AWD,Midsize Cars,All-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,20,28,386,5,5
Lincoln,MKZ AWD,Midsize Cars,All-Wheel Drive,Automatic (S6),6,3.0,Regular,Regular Gasoline,17,26,447,4,4
Lincoln,MKZ FWD,Midsize Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,21,31,370,5,5
Lincoln,MKZ FWD,Midsize Cars,Front-Wheel Drive,Automatic (S6),6,3.0,Regular,Regular Gasoline,18,27,425,4,4
Lincoln,MKZ Hybrid FWD,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,2.0,Regular,Regular Gasoline,41,38,222,9,9
Lincoln,Navigator 2WD,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic (S6),6,3.5,Regular,Regular Gasoline,15,21,523,3,3
Lincoln,Navigator 4WD,Standard Sport Utility Vehicle 4WD,Part-time 4-Wheel Drive,Automatic (S6),6,3.5,Regular,Regular Gasoline,15,20,537,3,3
Lincoln,Navigator L 2WD,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic (S6),6,3.5,Regular,Regular Gasoline,15,20,536,3,3
Lincoln,Navigator L 4WD,Standard Sport Utility Vehicle 4WD,Part-time 4-Wheel Drive,Automatic (S6),6,3.5,Regular,Regular Gasoline,15,19,546,2,2
Lotus,Evora,Minicompact Cars,Rear-Wheel Drive,Automatic (S6),6,3.5,Premium,Premium Gasoline,17,24,451,4,4
Lotus,Evora,Minicompact Cars,Rear-Wheel Drive,Manual 6-Speed,6,3.5,Premium,Premium Gasoline,16,24,468,4,4
Maserati,Ghibli S RWD,Midsize Cars,Rear-Wheel Drive,Automatic 8-Speed,6,3.0,Premium,Premium Gasoline,16,24,471,4,4
Maserati,Ghibli V6,Midsize Cars,Rear-Wheel Drive,Automatic 8-Speed,6,3.0,Premium,Premium Gasoline,17,24,460,4,4
Maserati,Ghibli V6 SQ4 AWD,Midsize Cars,All-Wheel Drive,Automatic 8-Speed,6,3.0,Premium,Premium Gasoline,16,24,475,4,4
Maserati,GranTurismo,Subcompact Cars,Rear-Wheel Drive,Automatic 6-Speed,8,4.7,Premium,Premium Gasoline,13,21,572,2,2
Maserati,GranTurismo Convertible,Subcompact Cars,Rear-Wheel Drive,Automatic 6-Speed,8,4.7,Premium,Premium Gasoline,13,20,577,2,2
Maserati,Levante,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 8-Speed,8,3.0,Premium,Premium Gasoline,14,20,548,2,2
Maserati,Levante S,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 8-Speed,8,3.0,Premium,Premium Gasoline,14,19,557,2,2
Maserati,Quattroporte GTS,Large Cars,Rear-Wheel Drive,Automatic 8-Speed,8,3.8,Premium,Premium Gasoline,15,22,517,3,3
Maserati,Quattroporte S,Large Cars,Rear-Wheel Drive,Automatic 8-Speed,6,3.0,Premium,Premium Gasoline,16,23,482,3,3
Maserati,Quattroporte SQ4 V6,Large Cars,All-Wheel Drive,Automatic 8-Speed,6,3.0,Premium,Premium Gasoline,16,23,485,3,3
Mazda,2,Compact Cars,Front-Wheel Drive,Automatic (S6),4,1.5,Regular,Regular Gasoline,32,40,252,8,8
Mazda,2,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,1.5,Regular,Regular Gasoline,30,39,259,8,8
Mazda,6,Midsize Cars,Front-Wheel Drive,Automatic (S6),4,2.5,Regular,Regular Gasoline,26,35,304,7,7
Mazda,6,Midsize Cars,Front-Wheel Drive,Automatic (S6),4,2.5,Regular,Regular Gasoline,27,35,299,7,7
Mazda,6,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,4,2.5,Regular,Regular Gasoline,24,34,315,6,6
Mazda,3 4-Door,Compact Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,28,37,281,7,7
Mazda,3 4-Door,Compact Cars,Front-Wheel Drive,Automatic (S6),4,2.5,Regular,Regular Gasoline,27,36,293,7,7
Mazda,3 4-Door,Compact Cars,Front-Wheel Drive,Automatic (S6),4,2.5,Regular,Regular Gasoline,28,37,284,7,7
Mazda,3 4-Door,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,2.0,Regular,Regular Gasoline,27,37,284,7,7
Mazda,3 4-Door,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,2.5,Regular,Regular Gasoline,25,34,312,7,7
Mazda,3 5-Door,Midsize Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,28,37,283,7,7
Mazda,3 5-Door,Midsize Cars,Front-Wheel Drive,Automatic (S6),4,2.5,Regular,Regular Gasoline,26,35,294,7,7
Mazda,3 5-Door,Midsize Cars,Front-Wheel Drive,Automatic (S6),4,2.5,Regular,Regular Gasoline,27,36,291,7,7
Mazda,3 5-Door,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,4,2.0,Regular,Regular Gasoline,27,37,286,7,7
Mazda,3 5-Door,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,4,2.5,Regular,Regular Gasoline,25,33,319,6,6
Mazda,CX-3 2WD,Compact Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,29,34,288,7,7
Mazda,CX-3 4WD,Compact Cars,4-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,27,32,308,7,7
